VALUE	ABB	AVL
28316	29	14
5489	34	14
27796	33	14
26548	30	16
2664	31	14
25858	31	13
20543	33	15
5081	30	13
5580	34	14
21407	43	13
4436	38	15
27670	30	13
29662	32	14
22863	33	13
9166	30	10
16463	28	11
29055	31	14
6598	34	15
15772	30	16
19331	33	15
1861	29	14
28300	32	13
18493	26	11
12041	30	15
30649	36	15
23644	29	14
4237	38	14
13082	33	15
7619	28	13
30667	36	15
10463	34	13
28816	34	13
32610	25	14
32042	30	14
12619	31	14
18413	31	12
30880	28	13
8108	33	16
31306	31	13
18847	29	15
4806	28	14
21452	38	15
13696	34	15
29571	30	14
23500	34	13
6377	34	15
10456	35	13
26535	26	15
21011	39	14
1587	26	6
6102	29	13
84	34	13
14423	31	14
7883	30	15
22313	33	13
25932	31	15
26079	36	14
12582	35	15
16000	31	15
1616	32	13
26358	25	11
17843	24	13
27807	31	14
7909	34	15
415	30	15
24765	30	16
4530	43	15
10072	32	13
29317	27	14
7058	33	10
13281	29	15
22272	36	15
30257	32	13
22757	34	15
8740	34	14
7107	35	14
29311	30	14
6257	27	15
2393	31	14
10971	37	15
21587	40	15
11743	29	15
24468	27	14
3802	31	16
30088	33	14
24298	33	14
6582	31	13
22252	35	15
7977	37	15
11457	31	14
24385	28	13
19293	36	14
31716	31	14
19628	27	14
12394	30	15
19291	38	14
3771	34	14
5107	30	13
12912	33	15
14332	33	16
509	33	13
23292	26	11
5677	26	13
4227	35	16
25205	31	14
7091	34	14
19691	29	14
9183	38	14
6881	29	10
20270	39	16
32632	32	15
31604	28	14
17318	32	15
20114	46	15
31613	28	14
25374	36	14
6849	31	14
15152	34	15
2827	38	15
12915	37	16
14337	33	15
12788	34	17
27255	39	14
15177	34	14
20851	32	10
19968	27	13
20584	32	15
377	29	12
9246	32	12
16020	31	16
15406	34	14
8162	32	16
21745	36	16
29745	34	13
32341	28	13
32432	24	14
24058	33	15
10494	34	14
12154	40	16
16094	32	15
23513	36	13
18538	21	14
2398	29	14
32505	27	13
20339	36	15
31251	34	13
22073	35	16
23847	30	11
10219	30	14
21479	39	11
27217	32	14
23145	36	13
10446	34	14
30600	34	13
23498	33	13
797	33	15
141	25	13
7925	30	16
27840	34	13
199	27	14
9009	33	12
23656	28	12
23443	27	13
30992	32	15
15690	35	15
4474	32	9
3458	29	16
24079	34	14
21288	44	16
24973	37	14
18300	31	13
5064	31	13
24654	30	15
9067	31	15
26930	27	14
3826	30	14
2852	35	15
5675	33	13
24177	28	14
20734	41	14
16620	34	14
23893	29	12
15023	28	14
25940	32	15
19959	31	14
2118	29	13
13028	29	13
17376	29	16
17945	31	9
10453	29	13
27035	34	14
15565	28	12
20826	33	16
15670	36	15
16712	33	14
20880	38	15
12526	33	14
28959	32	14
10460	33	13
7977	35	15
4200	35	14
31274	33	10
5783	24	11
15781	23	15
30506	33	15
4987	30	10
9501	27	13
14568	39	12
28192	29	14
23714	32	12
1741	31	12
1705	37	14
11694	32	15
8130	35	16
17230	33	13
7614	31	15
26598	32	15
17139	35	16
29546	34	15
4762	32	15
767	30	13
26854	30	14
28448	30	14
23828	29	15
22530	34	14
1224	38	14
8692	32	9
11114	26	15
18887	31	15
25960	31	13
31114	26	13
26245	32	12
18464	28	16
31643	30	14
8819	36	14
19326	31	15
4948	31	13
24544	30	14
1863	28	14
15970	28	14
21455	38	15
23360	35	14
17908	32	15
14898	33	16
23063	42	15
30584	40	15
3925	28	11
558	29	15
6914	34	15
23130	38	14
9479	34	12
30803	34	14
15399	34	16
28785	34	13
27000	36	15
15651	34	15
17554	31	13
10980	35	15
13888	35	14
31908	33	15
17852	32	15
21660	37	15
27829	32	14
3243	34	16
4282	39	15
17065	30	13
29881	29	12
16474	26	10
19380	27	15
25570	36	15
7639	33	14
5352	33	13
31641	25	12
29644	32	15
5775	28	13
7072	33	14
22033	32	12
21694	29	10
28141	27	13
17709	27	13
28595	34	14
21826	36	15
21345	43	13
29204	28	12
6777	32	16
25789	34	15
2250	34	13
27778	34	14
2160	26	13
31571	27	14
15060	33	14
12104	37	15
1716	37	15
14597	37	16
13188	34	14
7716	33	15
25756	31	13
28	15	9
6929	29	14
4930	30	14
23346	32	14
3787	33	15
15094	32	15
26114	32	12
2278	35	15
23568	32	14
30533	35	15
20220	39	14
21891	35	16
15323	32	15
29246	36	14
19778	30	14
21089	42	15
3698	37	16
3616	34	16
28900	33	9
27357	24	14
32532	29	14
16703	31	15
11962	32	16
30982	37	15
5596	33	14
28759	31	15
8541	38	15
4761	32	15
8425	40	14
17184	31	15
23415	34	14
8752	29	10
14524	37	15
10018	29	14
12093	39	16
8374	34	14
25569	35	15
29899	31	13
3897	31	15
798	35	15
7634	31	16
27327	37	10
27725	25	13
12372	28	15
17688	32	15
29551	31	12
13557	32	16
4980	33	13
13491	36	17
26861	35	14
22988	36	14
7739	36	16
3260	34	15
19199	25	13
31570	27	14
20411	38	13
28233	29	10
7026	30	13
9452	38	12
4946	29	14
11921	27	15
21680	37	15
14636	31	14
3036	29	15
17745	35	15
11925	28	15
29523	33	14
7976	34	13
31342	29	14
9599	34	14
8724	32	13
21929	35	16
5851	35	14
30628	37	14
32667	27	15
25198	33	14
7357	32	13
3241	31	15
19150	29	16
26452	33	15
19149	26	13
31600	28	15
1491	42	13
18811	32	16
28414	34	13
8753	29	11
32210	24	14
10742	33	15
19553	34	14
1228	37	15
32764	24	13
22215	33	16
6213	32	14
25949	32	15
24524	31	9
18442	27	14
21154	38	14
19217	27	14
12940	31	14
32112	34	14
32184	31	13
27449	29	14
25628	24	13
20463	34	12
30963	30	14
10397	34	14
2287	34	13
3000	29	15
786	29	13
7443	29	15
4438	40	15
26218	35	14
10120	35	14
24912	32	15
16897	30	14
9605	37	14
6946	33	14
1789	34	12
5570	33	14
2337	33	14
19435	32	12
30990	31	13
27797	32	14
20192	42	15
10317	30	15
13903	36	15
11230	34	14
24865	28	13
24952	32	14
6719	36	15
13297	37	16
1654	33	12
11528	24	15
10274	34	14
20183	38	10
9561	29	11
18913	25	11
3154	29	10
31824	28	15
28698	28	14
19550	33	14
18390	33	15
16148	33	15
3356	34	15
30124	33	15
14901	33	16
20318	40	15
3905	34	16
6768	36	16
32140	37	14
22187	28	15
21155	42	15
23728	32	13
18655	24	12
6335	26	14
4485	35	14
15600	34	14
19629	23	8
11754	21	13
17801	29	16
18075	30	12
15815	30	15
12937	35	14
10531	36	15
23461	31	12
610	21	8
4047	28	12
27981	26	14
25455	32	12
13674	31	16
16838	32	15
30588	39	15
24811	34	14
29721	35	14
16016	29	12
15315	29	16
13312	38	16
10697	30	12
25331	34	13
1943	29	14
2608	31	14
19974	29	12
2069	30	15
20452	36	13
17016	29	13
18664	26	14
9859	34	13
22686	35	15
18551	27	14
29087	26	13
10872	29	12
18345	29	13
10963	34	14
23376	34	15
23901	31	11
30813	28	14
28889	31	13
25632	26	14
2188	33	15
9012	32	12
29539	29	14
14990	29	15
13657	34	16
11718	32	15
15615	29	9
19717	23	15
11859	28	12
14072	35	14
13645	33	16
22449	39	16
9671	38	14
13168	35	16
7081	35	14
1171	35	15
9606	38	14
11852	27	15
5386	34	14
20944	35	11
11240	28	14
531	30	14
20778	35	11
12879	30	15
6673	39	15
7659	35	15
2792	32	12
7298	29	9
22387	27	15
11021	27	15
26602	32	15
31620	27	13
20116	44	15
9847	33	10
31622	23	12
13925	34	16
10002	32	12
17120	28	14
28899	32	13
16834	29	15
24804	33	14
9969	30	14
8283	27	13
28568	30	14
13538	35	16
23474	33	13
5156	32	13
29017	30	14
24200	29	14
32579	30	13
16432	29	14
16448	34	13
13047	32	15
4044	36	14
29009	30	13
24546	29	13
10556	28	12
25270	37	15
14241	39	15
12039	34	15
14293	35	15
7196	34	14
20513	34	15
15031	33	14
11121	31	15
14972	34	15
20896	40	15
18328	33	15
23288	32	13
2739	34	14
8415	34	14
1399	37	15
23755	28	13
6184	28	14
28658	33	13
8484	29	14
8525	31	14
27975	28	14
19689	31	15
10371	32	13
5794	23	10
14385	31	16
944	36	14
29920	31	13
14775	29	15
10161	42	15
22324	37	15
3971	33	16
14466	34	16
5235	39	13
21959	32	15
17540	29	12
2443	31	15
19056	31	14
19654	29	12
22497	32	15
7339	33	15
1709	36	13
8057	35	15
4302	39	14
2323	30	14
32037	30	14
1338	33	12
3916	29	14
23697	30	13
31491	27	14
29402	32	14
8189	33	16
28687	31	14
30997	31	11
13120	30	12
567	32	14
25949	32	15
12926	34	14
29523	32	14
21591	38	15
12848	30	15
5035	35	13
17691	28	14
6744	31	13
23658	30	13
5512	29	14
24098	31	15
4772	34	15
19355	29	14
22771	35	15
5409	32	14
19753	33	14
21448	36	13
5745	26	13
25304	34	12
14512	32	13
23916	32	14
13855	33	15
27198	31	13
6762	29	12
20157	35	14
9196	38	14
19418	33	15
9164	33	13
6704	29	13
13318	35	16
18545	29	15
6813	28	13
5695	28	13
11154	31	13
30433	31	15
18254	36	16
618	33	15
16800	33	13
4429	36	14
7561	35	15
23932	36	13
11358	29	13
7546	36	14
21260	44	12
28943	30	14
3723	34	15
29817	33	14
22712	36	15
13906	36	15
22831	35	14
28039	33	14
27109	29	10
30730	28	14
30090	32	15
12337	35	15
9721	35	13
21975	32	15
19274	34	15
29116	33	14
26681	29	14
3257	32	15
30465	34	16
8643	36	13
20959	36	15
10450	35	13
17621	32	15
18978	31	14
14956	30	15
1134	33	15
17274	30	16
9747	29	13
31295	28	13
14400	37	17
861	40	14
13463	35	17
17255	32	16
24814	35	14
22050	33	14
18968	31	15
31926	30	14
24017	29	14
8785	35	12
25932	30	15
21270	47	15
27894	31	14
8012	34	14
19292	37	14
29984	35	14
18536	24	13
3461	32	13
12102	36	15
11499	29	15
10417	35	13
16109	26	16
26752	30	15
19490	31	12
20638	34	14
944	34	14
31966	31	14
7770	34	16
1603	36	12
20255	36	13
437	29	13
21922	35	16
7487	29	11
10477	32	14
6209	27	10
9563	31	13
30273	30	14
16031	32	15
2372	29	14
32586	28	12
6091	33	14
10558	32	14
17392	29	16
9963	32	12
17462	26	15
15183	33	13
17415	24	15
3848	36	15
12535	32	16
27397	35	13
9025	32	13
13707	31	16
17184	33	15
11444	31	14
23022	37	14
29073	32	12
29994	30	12
20873	36	15
29404	33	14
26559	27	15
18929	30	15
15993	28	11
13947	27	16
6361	32	13
28928	33	13
3959	25	10
4415	30	15
16016	30	12
15	19	13
31466	32	14
14662	31	14
27292	38	14
26058	26	9
2398	24	14
22331	36	15
7179	37	15
31188	30	14
30073	36	15
13946	28	15
16089	32	15
19980	35	14
18481	28	15
16500	32	14
18880	27	14
9487	32	7
1341	26	13
18261	33	15
28241	31	14
12798	32	16
31689	33	15
25573	35	13
3908	32	16
1409	40	15
3950	32	16
27308	39	13
28941	33	13
19467	36	12
3425	31	15
15450	36	14
22704	27	13
16736	29	15
25067	37	14
30054	38	14
3285	36	16
32085	35	13
16921	31	15
16628	34	14
27935	32	15
32215	29	14
7604	31	11
21244	39	13
5050	31	12
4655	27	16
28019	28	13
19881	28	14
13619	35	17
2948	37	14
12656	31	15
5631	33	14
12941	30	13
22178	29	13
13273	32	15
23489	33	14
4497	39	15
25338	36	14
25576	32	15
22674	34	15
20325	38	15
31465	34	14
23829	29	15
2650	32	13
16736	29	15
28989	33	13
28298	31	14
27883	30	14
30749	35	15
18421	35	15
14039	42	15
30437	32	15
22734	36	15
13384	34	15
10215	34	14
24022	29	15
24787	32	14
9193	36	12
1842	21	4
26022	20	14
18316	33	15
10122	36	14
15925	31	15
16179	34	15
29291	29	14
26271	30	12
3871	32	16
14904	33	16
28493	32	14
100	33	13
462	27	13
20083	34	10
26890	20	12
32289	30	14
7417	34	15
16391	38	14
19018	28	15
15020	30	13
16303	27	12
25375	34	14
667	30	14
25392	34	13
12032	31	16
17108	32	14
8641	35	14
29998	30	13
11258	24	13
12113	35	15
15693	35	15
24001	31	14
9687	36	13
30516	31	15
21618	38	14
7718	33	13
23668	33	12
20536	29	15
9747	28	13
6523	32	15
1797	39	13
13073	33	16
11552	31	15
28615	31	13
21256	42	9
11928	22	15
14115	37	14
2619	33	15
20343	40	15
30248	32	13
18710	28	15
15544	35	15
6210	31	14
12104	37	15
18040	29	13
8337	31	14
22012	33	14
17034	28	16
3744	36	16
3217	34	14
26068	30	12
13235	32	15
1104	36	15
20032	33	13
15816	31	15
17691	30	14
13197	35	15
2146	31	14
24853	33	13
27223	35	14
2478	35	15
23233	36	15
30962	33	14
19990	33	14
21428	36	15
14124	35	15
25981	31	12
28489	26	11
30425	26	15
1984	31	13
23286	31	15
6535	34	15
5996	28	14
2662	29	14
24363	28	14
15535	31	14
8667	34	13
1437	36	14
15155	34	15
26575	27	15
27154	30	13
14970	33	17
13663	36	16
27460	31	13
21763	25	11
14316	27	15
10094	38	14
26147	34	14
16518	25	14
29509	32	14
17664	28	15
17112	30	14
7524	37	16
18934	31	15
9806	35	13
26381	29	14
28590	34	14
20634	36	14
27415	27	10
6862	23	12
10580	29	14
4919	27	11
2526	29	15
27370	31	11
4850	28	14
10944	33	14
8018	34	14
2716	38	15
14061	38	16
19422	35	14
21006	37	13
30826	30	14
703	30	14
13039	36	16
7810	35	15
27214	32	15
4751	34	14
4432	39	16
7985	38	15
17684	31	15
23301	32	14
24535	34	16
9502	34	14
8963	32	13
9564	34	13
15012	27	13
13440	32	16
11711	33	14
4537	36	16
10778	35	16
14781	34	15
20334	41	15
5051	33	12
32040	28	14
2710	38	15
32538	29	13
7507	34	14
6349	31	14
1951	30	14
11350	31	14
27606	26	11
24795	29	14
29171	28	12
3621	29	15
11088	32	15
7675	32	15
18725	25	13
22807	30	14
25628	24	13
1265	32	13
17786	29	16
8373	33	12
26289	30	13
17185	30	15
16981	33	15
26655	30	14
10687	30	10
13394	26	16
11506	28	15
9716	35	13
20091	45	15
9651	37	14
19287	36	15
16242	38	15
16182	34	15
18971	32	15
28552	35	14
16095	30	15
7221	36	13
17301	30	15
27387	31	15
18727	26	14
27325	37	13
26140	31	13
22091	32	16
5830	27	14
14957	29	14
6051	31	15
304	29	12
29672	30	14
13521	33	16
29017	33	14
7855	35	16
3023	33	14
19251	28	12
1578	32	14
398	31	14
886	30	15
30388	33	10
29321	24	14
32011	31	14
10100	37	14
16028	30	13
6509	32	15
15822	31	13
12578	29	10
30959	26	12
12953	31	14
12059	36	14
26368	30	14
31041	31	14
3617	30	14
16460	35	14
7253	36	13
8650	33	13
12586	35	15
7807	35	16
21526	36	15
2749	34	15
12273	32	15
13964	31	17
2825	40	15
13270	34	15
26895	28	14
4922	31	14
27946	30	14
29746	32	13
1531	34	14
27570	31	15
31310	28	11
7268	31	15
25808	31	11
30259	26	12
24070	31	14
32453	27	15
20304	41	16
21256	45	9
32454	22	15
21003	31	8
9001	29	14
9143	32	14
2119	29	13
8734	32	14
20344	39	15
8828	34	12
29993	28	13
17191	25	13
19340	30	14
19957	30	14
23517	35	13
31465	32	14
27372	29	12
32031	28	14
706	30	14
21588	39	15
12955	34	14
28545	34	14
32654	30	14
20823	36	16
5018	30	14
11687	32	15
26096	36	14
28407	34	13
11951	32	16
19922	32	14
18804	32	15
12190	32	13
1381	30	10
28910	30	13
5798	27	14
8117	33	15
15444	33	13
3012	26	13
1914	29	14
2164	27	14
21154	38	14
20593	33	15
14059	38	16
17657	33	15
29386	34	14
19479	39	15
6115	39	15
28056	33	13
16540	26	14
3282	33	13
21339	43	13
19827	29	13
18566	27	15
25582	33	15
20931	41	15
22090	32	14
29713	33	13
6231	22	12
29604	31	15
1684	36	14
10158	41	15
7504	37	15
15748	24	11
30158	28	14
28083	33	13
8552	34	13
31498	31	14
31507	32	14
21153	33	6
2474	26	14
7522	35	15
8685	36	14
22184	31	15
11541	27	15
22755	35	14
24939	28	14
6253	27	15
25676	29	15
17903	31	15
18803	33	15
7434	34	15
16782	33	14
2331	34	14
6746	31	13
22870	35	15
1255	38	15
18064	31	13
31410	30	13
24680	30	15
8360	28	10
25778	26	14
16227	34	16
23382	37	15
25110	36	14
25087	27	7
31230	23	12
11842	26	15
4703	36	16
16953	29	15
16717	28	14
28312	33	13
9170	36	14
22215	34	16
26671	29	14
3729	31	14
16206	30	15
26201	33	12
5794	22	10
25084	27	14
17915	30	14
30667	37	15
31010	32	15
24637	26	12
6969	32	14
17484	27	16
31282	33	13
18326	31	15
19158	26	15
5311	33	14
14904	31	16
1445	35	11
24452	25	15
3681	32	15
14733	32	15
2350	35	15
32138	35	13
12972	33	15
26837	29	13
24859	28	14
5561	31	13
5756	30	15
5004	28	14
19649	27	11
17570	27	15
5233	35	10
22754	31	15
8549	36	15
12806	35	17
32404	25	13
9929	26	14
10495	33	14
1166	35	15
4925	32	14
27468	28	13
24125	27	13
15804	35	16
14644	34	14
28706	26	13
10699	30	14
4642	27	16
18198	32	15
5251	35	13
1234	34	15
4562	37	14
23034	37	14
22842	38	15
9407	36	11
13589	31	16
32597	29	14
29436	36	15
5189	36	13
8544	36	15
13851	31	13
22264	36	15
23973	32	13
14979	31	17
2855	38	15
30127	32	14
10797	28	11
21540	28	14
21725	29	15
6150	32	15
31486	33	14
5996	27	14
21006	37	13
4761	30	15
24339	32	15
28928	35	13
12315	29	14
17235	33	14
19071	31	15
6963	35	14
15454	33	13
3388	30	13
29430	35	15
6266	25	12
17605	27	14
18065	33	16
21903	40	16
12832	32	16
27584	35	15
19738	35	14
18888	30	15
20282	42	15
29534	32	14
13496	37	17
17867	31	15
14302	33	15
17331	35	16
17470	29	15
14320	32	15
6288	26	15
12412	33	16
13441	34	15
6530	34	15
23037	39	15
16902	30	14
26035	31	13
7878	30	16
8428	40	13
1355	28	9
32492	25	14
10297	30	14
2673	33	15
10078	34	14
11274	29	14
22810	31	14
30819	31	14
24586	31	14
28091	33	12
30504	30	15
529	34	15
28598	34	14
12248	32	15
30637	41	15
23857	32	14
13452	28	12
6645	31	13
23995	29	14
21273	45	14
6875	27	13
20022	33	12
19894	26	14
5682	30	14
27833	32	14
2660	33	15
31250	31	11
2985	31	15
17644	30	15
24383	29	13
19806	29	15
23911	34	14
10507	35	15
29206	32	14
30082	32	15
26692	32	14
3808	32	15
31894	33	15
13381	35	16
23159	37	14
20753	42	15
32480	33	15
6418	31	14
5713	28	14
22271	35	15
22494	33	13
2043	27	12
11564	28	16
29679	34	15
14294	35	15
12798	33	16
1694	36	14
16744	31	14
8511	34	15
25223	36	15
2034	30	15
30939	35	14
27604	30	15
17975	30	12
20440	38	15
4234	37	14
32232	30	14
3812	32	15
23131	38	14
8098	33	15
12281	32	14
6369	33	13
8468	33	14
19882	27	11
3719	30	14
30079	35	13
2973	31	14
20769	37	13
28198	29	14
32467	27	15
17481	28	15
16739	30	14
1491	41	13
22714	35	15
17682	29	14
16333	34	14
900	25	8
795	28	15
12499	34	13
15393	33	16
20227	42	15
24940	29	14
19640	29	15
22572	38	15
28411	31	12
23416	31	14
11762	30	14
11942	20	3
17491	16	16
31583	31	15
28591	35	14
345	29	14
4028	32	16
11486	28	12
1353	32	14
4742	27	15
30086	33	15
464	30	14
31933	27	14
11652	30	12
29624	29	13
8181	32	16
17760	34	14
8874	36	14
32351	28	14
15347	28	13
20173	38	13
14959	30	16
13862	36	16
17818	28	15
5154	32	12
25552	26	14
27943	31	15
10604	35	15
26476	31	15
8690	36	14
28161	26	13
19293	36	14
4447	38	15
32009	32	14
14635	30	14
7895	31	17
6475	34	15
31352	29	14
11400	31	13
1	19	13
18763	31	16
24634	29	14
18747	26	15
12865	34	15
17088	30	14
18304	33	15
3004	31	15
10240	33	13
14077	34	10
17051	27	15
2603	30	14
30637	40	15
6212	31	14
6685	37	14
19685	28	12
8708	31	14
22258	37	15
25915	34	15
5462	32	14
3472	33	15
32502	29	14
374	31	16
1806	41	14
23406	30	13
18823	25	13
11643	26	14
26390	33	14
31061	29	13
30487	29	12
19271	28	13
25988	30	14
5331	33	14
1410	37	14
3470	33	15
9549	37	13
21465	37	12
5772	26	14
5214	32	14
30299	30	14
30330	28	15
6794	33	16
15616	33	14
30175	27	10
17904	26	15
4959	32	15
10527	37	15
2281	38	14
29920	31	13
938	33	15
16683	27	10
25910	29	15
21727	31	15
24126	30	14
13824	40	15
7240	33	11
1332	32	14
2515	34	15
17859	31	14
23740	29	14
32479	32	15
19707	31	14
18445	29	15
24025	32	16
8667	36	13
13911	35	15
17740	35	15
10597	32	12
10145	35	14
21770	31	15
7526	38	16
14268	36	15
7917	33	15
21870	34	14
415	29	15
4643	28	16
21700	37	14
22022	34	14
17852	31	15
28505	30	11
20150	34	14
2228	32	14
19560	28	14
32367	30	14
14945	25	11
29740	29	12
4824	29	15
21466	42	14
30262	33	14
27049	38	13
8107	32	15
11463	30	15
6016	29	14
735	32	15
22804	32	14
31918	31	13
4513	38	15
15408	34	14
1594	30	10
31018	26	15
25247	35	16
32546	32	14
32735	27	14
6152	31	15
26848	31	13
12561	29	13
21568	36	16
13213	35	15
17970	32	15
6689	36	14
25149	32	13
18781	29	16
29711	35	13
14455	36	16
12218	38	15
1706	40	14
27934	31	14
21417	39	15
32581	30	11
6122	32	13
4092	34	14
25714	26	14
26873	28	14
28124	33	14
7997	35	11
9387	32	12
31394	30	14
27948	30	14
686	30	15
23414	34	14
8994	36	14
