VALUE	ABB	AVL
15429	33	15
11741	29	15
14781	33	15
27923	30	15
9062	31	15
20444	40	14
23259	36	15
19629	24	8
13048	27	15
12353	30	12
15768	27	16
1258	38	15
9247	35	12
23921	33	14
18779	30	16
26601	33	15
10127	35	12
4127	32	15
13211	34	15
30352	36	16
5793	28	14
26639	31	14
22935	36	15
9078	31	10
15013	26	11
26144	31	14
25159	33	14
15616	31	14
7802	34	16
18313	35	15
15506	33	15
17098	29	14
7773	34	16
9827	33	10
19905	24	13
10824	34	11
10751	28	15
872	37	15
25652	31	14
22189	29	16
27866	33	13
7418	33	15
16979	32	14
18443	25	13
20676	34	13
14183	35	15
21960	33	14
17852	31	15
3781	34	15
14955	29	13
28396	28	9
2050	25	15
16934	30	15
18422	35	15
3198	31	15
9450	40	12
12746	28	15
12336	35	15
3995	30	14
17526	33	16
17346	35	15
26298	27	14
27626	25	11
24570	28	14
20251	39	15
23863	32	14
10264	30	13
4295	35	14
16378	37	14
26380	30	14
17028	28	16
12807	36	17
16876	33	14
2659	33	15
20027	30	12
23016	35	14
25719	26	14
25206	33	15
23590	32	14
28157	26	13
28149	23	11
30474	31	16
1154	34	13
22241	31	13
20642	36	14
11577	29	16
9361	34	14
5917	32	13
30195	26	12
13685	32	15
9359	32	13
18763	31	16
21545	31	12
6858	30	14
23016	37	14
18812	33	16
551	33	15
22371	31	14
22952	33	15
3544	33	15
15744	28	15
4688	32	16
20275	42	15
29316	29	14
5845	33	13
27271	35	13
11062	29	14
31945	29	14
14430	38	16
29480	34	14
16093	30	15
22898	37	14
31430	29	14
17669	28	15
5959	33	14
6773	34	16
15420	35	15
18785	31	16
11575	31	16
30678	34	15
11719	31	15
8696	39	14
15628	32	15
6089	35	13
2777	33	15
21056	43	14
23283	28	14
8727	33	14
28456	30	13
3567	35	15
5979	34	15
8898	34	14
16057	31	14
20669	35	14
18345	31	13
32748	26	15
21565	38	16
9067	32	15
18221	32	14
1781	35	14
27041	38	14
12804	34	17
17493	30	16
21732	33	16
28385	35	13
5987	31	13
28193	30	14
7688	30	11
17181	28	15
501	29	14
5591	32	14
6367	35	14
1006	37	15
5568	36	14
6392	35	13
4150	30	15
26362	25	12
12196	34	16
10098	39	14
24722	26	12
20934	38	15
28129	33	13
14871	32	15
25807	32	14
9164	32	13
8666	33	13
19790	25	12
5639	30	14
26318	29	14
3865	34	16
13321	38	16
25269	33	10
22889	30	13
7058	32	10
5879	31	14
282	29	13
2029	28	15
21804	34	15
29690	36	14
16608	34	14
26476	30	15
28797	32	14
12763	30	17
8190	36	16
10001	34	14
9429	36	12
7229	32	13
9947	28	13
11187	30	15
2431	37	14
23503	34	12
20406	36	13
27050	37	13
22595	34	15
16070	30	12
32069	30	14
4322	36	15
14639	31	14
25995	29	15
17564	31	14
16174	33	15
31640	28	13
10160	40	15
3665	35	15
11486	27	12
24667	29	15
17705	30	14
21214	39	16
1939	32	14
22888	29	11
14265	30	13
30278	30	14
28498	29	13
25218	34	15
14506	36	14
1788	35	14
18904	30	14
22336	29	10
20161	34	14
25600	31	14
24621	31	14
27224	33	12
30833	24	12
3659	29	14
31356	28	14
8732	32	13
17999	31	14
10605	34	15
28194	32	14
32325	31	14
31174	29	14
28533	34	13
20997	32	13
10992	34	15
31756	31	14
7185	31	11
19751	28	12
25830	29	14
16724	31	15
4854	31	13
13179	32	14
29472	32	10
27718	25	14
17794	30	16
25847	36	13
22923	32	15
17836	31	15
7072	35	14
8938	30	12
10504	32	14
23662	36	14
25581	32	15
20368	41	14
4279	37	15
25024	35	13
3865	33	16
19427	35	14
5237	37	13
5530	33	14
14991	32	16
26549	30	14
3235	34	15
22376	35	16
20056	38	15
6140	32	11
21290	39	15
12036	31	13
12860	32	15
26477	26	10
16827	15	8
25057	27	13
24107	29	15
21836	36	14
25948	32	15
26761	27	15
18908	30	13
5762	28	14
2848	39	16
22601	38	15
32692	28	12
27888	29	15
2613	34	15
5418	32	12
22249	31	11
2307	25	13
28452	30	14
24612	29	13
6375	34	15
10632	33	15
27733	27	14
5519	31	10
5619	30	14
28098	32	14
13266	34	16
12250	38	16
27918	27	12
3514	30	15
7756	38	16
25215	34	13
2844	40	16
27863	33	13
17251	33	14
24886	32	15
9541	39	13
15022	26	12
26402	31	14
10090	36	13
12956	32	14
5659	32	14
24777	28	14
21481	42	14
10494	33	14
26257	32	13
24272	25	9
27871	24	13
317	30	15
24494	33	15
11304	32	13
8197	32	16
18046	33	16
25363	40	13
23236	34	15
21270	47	15
13536	36	16
13426	34	15
30552	35	14
6275	24	15
11103	33	15
13288	34	16
10849	35	14
23655	23	6
29943	24	13
4750	28	11
27237	34	15
23997	31	14
11532	25	14
13643	33	16
9084	36	14
18385	34	15
17161	32	14
14828	35	15
30735	35	15
32756	26	13
24904	29	14
21110	38	16
32480	34	15
31604	28	14
15154	34	15
27322	38	13
8778	32	13
12747	30	16
1703	41	14
19499	37	15
1227	37	11
32535	26	14
9376	36	13
13293	31	15
3775	37	16
2762	35	15
15634	34	15
3886	33	15
2414	33	14
1699	36	10
21014	35	15
20921	41	15
27465	27	12
23005	33	16
3656	32	15
6856	33	14
14705	29	15
3238	35	15
21100	38	12
7194	32	14
8825	33	14
2002	26	14
18008	27	13
30534	34	15
13933	31	16
31953	32	14
28942	29	10
1359	29	14
24595	31	15
2526	33	15
7208	33	9
15480	28	15
880	31	15
28282	30	15
1657	35	14
10330	31	14
25998	32	14
25625	27	14
10737	29	11
10291	20	6
16765	24	15
28443	31	14
6337	34	15
26497	31	14
11928	27	15
15357	33	15
13760	38	15
17616	34	15
15369	30	13
23761	28	15
19469	37	14
6864	30	15
26000	33	14
31467	31	12
18934	27	15
8106	30	11
17792	27	16
20702	40	14
8985	37	14
20116	45	15
10250	33	13
167	28	15
7625	30	15
4004	34	15
25533	35	15
6695	35	15
4020	30	13
4577	34	15
6990	34	13
26071	31	13
19906	27	13
2976	31	14
19605	30	15
18359	35	15
21312	43	14
21774	31	15
20697	39	14
20103	44	15
25661	29	13
4361	39	14
12877	33	15
17210	31	14
12084	39	15
22580	35	15
31450	26	13
19624	26	14
12780	32	16
6730	32	15
24607	32	15
31619	28	14
26013	33	15
10674	34	15
28855	33	14
21132	34	13
30292	32	15
9556	37	13
9914	25	14
7942	31	16
2456	36	15
13484	34	16
902	31	15
13675	32	12
22606	37	16
18972	32	14
6335	28	14
26207	33	14
8154	33	15
24455	27	13
8852	34	13
16354	36	15
11911	28	15
24859	30	14
5956	32	14
28361	35	14
3881	32	15
14958	32	16
20449	40	13
21615	36	15
6145	35	14
14797	32	14
11861	29	15
9384	37	13
24800	30	13
15825	30	14
25762	29	15
8182	32	14
25743	32	15
24882	33	15
16750	32	15
15872	27	14
20847	39	15
6368	36	14
9662	35	13
23615	33	15
19805	31	15
30800	37	14
2050	30	15
17659	26	12
12504	28	13
4116	35	16
10322	26	10
8822	32	14
32102	34	14
6831	29	13
23031	37	15
12903	36	15
4915	31	13
27559	29	12
1581	32	14
19881	29	14
27132	33	14
21724	27	13
19495	31	14
6197	27	14
20779	37	15
30231	29	12
25172	31	14
27982	25	10
31556	18	8
10982	31	16
7393	32	15
23547	35	14
22655	30	15
2728	40	15
15743	28	15
18362	35	15
1207	38	14
12004	34	15
28774	33	14
371	30	15
19586	31	15
13279	34	15
6809	32	15
27819	34	15
3490	33	16
10093	39	14
23916	33	14
1274	37	15
30364	36	16
23047	40	15
29508	33	14
22463	37	16
27046	41	14
17950	34	13
18847	29	15
17938	35	15
1734	35	13
431	30	14
31828	34	15
8954	32	13
8505	33	12
28184	28	13
5659	31	14
480	26	15
9234	35	12
6698	29	12
14927	27	15
18756	21	7
10787	26	16
2687	32	14
7155	32	14
23983	32	14
19744	34	14
23565	32	14
26100	37	15
30953	29	10
28674	28	14
29948	30	13
30893	27	13
363	31	15
2218	35	15
14261	34	15
8368	33	14
30231	28	12
11463	27	15
27708	30	14
10948	32	15
16935	30	15
26105	36	14
21439	36	13
31018	29	15
3428	35	15
4407	40	17
6767	33	13
32293	31	14
23704	33	13
19822	29	13
7054	35	14
16313	35	16
5701	29	15
15722	31	14
11209	33	14
18610	24	12
16279	24	13
8442	37	14
24009	31	14
10984	33	13
1432	35	13
2383	29	14
29957	32	13
30402	30	14
26275	31	13
11430	30	11
31450	22	13
19449	40	15
4123	35	15
7463	34	16
10717	35	14
26526	29	15
17500	28	14
26380	30	14
9072	28	13
21343	43	14
23794	30	14
23045	38	15
9107	34	13
6662	34	16
15626	34	15
475	25	13
9981	29	12
9538	36	13
18469	26	15
4692	32	16
14188	37	14
10410	36	14
12564	31	15
19032	32	15
21049	42	14
15871	24	12
13600	32	17
4689	34	16
7471	36	16
5809	25	11
6025	24	13
23000	33	15
23965	37	14
26277	31	13
28978	26	12
30861	29	13
26026	30	15
27702	29	15
10394	34	14
5702	27	15
27625	27	13
14714	29	14
9742	27	13
24173	33	15
301	27	15
8902	35	14
6173	29	14
675	29	13
6303	24	15
30324	29	15
23629	33	14
20649	31	8
22029	29	15
25059	33	15
24588	30	12
24449	27	15
5765	26	14
10176	29	11
3561	25	11
6096	33	15
26403	34	14
2948	34	14
6916	33	14
7047	39	15
24103	31	15
5694	32	12
18627	31	14
20674	35	14
2634	25	12
6291	23	15
28359	36	14
5105	29	12
27731	25	15
3587	33	15
24863	30	14
21813	33	15
12005	35	15
17774	28	14
1723	30	9
9485	29	12
4251	38	15
29398	33	14
13347	33	16
29745	34	13
13399	29	16
3686	35	15
7785	33	15
2750	34	15
19414	34	15
9395	40	13
31323	24	14
31380	32	14
20616	36	13
31811	28	15
7166	35	14
4348	40	16
16031	34	15
13388	32	14
10808	26	9
2959	29	14
1638	32	13
16573	31	14
15053	31	14
5203	34	13
10197	29	14
26498	30	14
27277	32	12
18726	24	15
11362	31	13
8964	28	12
17867	26	15
21088	43	15
29465	32	12
3568	34	15
5392	33	14
19636	29	15
751	27	12
15418	31	15
25105	37	14
2647	29	10
22356	25	15
9569	34	12
18655	23	12
28516	27	13
23303	30	14
1012	29	12
26974	29	14
28032	33	14
1326	34	13
20053	30	13
3320	34	14
25274	39	15
19622	29	14
11453	28	12
21650	35	14
24500	32	15
26008	33	14
4224	36	16
703	32	14
6408	31	13
32077	29	13
20627	36	15
13876	35	15
2021	28	14
26691	32	15
28491	31	14
10365	29	11
32249	26	13
30336	27	13
28007	27	15
17646	31	16
12436	33	15
25126	37	15
20049	36	14
11227	33	14
32522	31	14
3144	34	15
12705	36	16
30220	31	14
30809	32	14
31740	35	15
9699	38	13
19563	27	14
25611	31	15
21425	32	13
6298	23	14
10240	32	13
21086	39	13
12483	34	14
1925	26	12
19999	32	13
30627	37	15
10573	29	13
22304	31	15
23776	29	14
22244	34	14
23615	34	15
29294	32	14
31696	32	13
32713	27	14
18352	29	12
6134	34	14
1254	37	15
25532	32	12
22901	34	14
30731	30	12
14777	31	15
1612	34	13
28146	25	13
2129	29	14
22767	36	15
3279	35	15
12592	38	16
12413	33	15
10233	34	14
29004	32	14
5680	30	14
13404	32	15
17662	29	15
23704	34	13
22655	29	15
32535	30	14
21780	31	15
27582	34	15
15371	37	14
13237	34	15
25270	40	15
25764	30	15
32565	31	14
9953	26	13
115	28	14
7660	34	15
13095	34	16
9710	37	14
995	37	15
7705	33	14
28264	28	11
12056	33	14
27871	29	13
13811	38	15
3501	32	15
32525	24	8
19697	24	14
6700	33	15
30451	34	16
6060	33	15
17162	32	14
16451	35	14
4810	32	16
9228	36	12
24435	27	13
681	26	12
28660	31	13
24000	29	14
1030	37	14
20515	34	14
17710	29	14
22361	28	14
5278	35	13
27247	36	15
17742	35	15
20525	37	15
3020	30	14
30762	33	15
31118	33	15
30039	33	15
18380	34	16
28145	22	4
5672	23	14
13311	36	16
9143	34	14
4807	29	15
32035	31	14
220	30	14
12537	30	14
9142	32	14
25452	29	11
14582	35	16
9478	36	12
23225	33	13
19496	31	14
32689	28	14
20297	39	15
23770	30	14
20041	35	14
15879	26	14
11101	32	15
21400	44	13
22623	37	16
10005	31	14
25472	28	11
13707	29	16
26289	34	13
26073	33	14
22341	34	16
587	35	15
24461	29	15
22586	34	12
31369	28	14
30093	26	13
2524	31	15
31560	29	14
8359	32	14
30095	29	14
20985	38	15
27846	32	13
2032	28	15
16567	33	14
20676	35	13
9702	37	14
14677	29	15
7799	35	16
18674	30	15
21331	44	14
4199	35	15
6003	27	10
3751	26	14
28276	29	15
32642	29	14
30950	31	14
3398	33	16
31728	37	15
25668	27	14
10049	35	15
24456	29	15
4973	30	14
68	31	14
1046	37	15
11723	31	15
5278	36	13
27137	30	12
27445	27	13
18093	31	16
11644	31	15
2585	35	14
2837	40	16
9690	38	13
5587	35	14
30908	30	14
7285	27	11
23842	25	13
9217	34	13
20319	37	15
15682	34	15
5071	30	8
7930	24	16
17077	32	14
29372	30	13
4149	30	15
29072	35	14
6363	30	13
5845	32	13
32650	26	14
8946	31	13
20435	39	15
13529	36	16
28664	32	11
14450	34	16
2099	33	14
6484	32	14
12529	26	8
25739	22	12
2078	27	14
6449	32	14
3523	31	12
10018	26	14
27252	34	12
21535	32	14
5740	30	15
17164	32	14
20038	34	14
30265	32	13
27311	31	9
11473	22	14
6797	32	16
15589	31	12
15207	29	15
22191	34	14
10779	33	16
17148	34	14
30236	30	14
32226	24	11
29649	30	15
22572	38	15
20180	41	14
23843	28	13
787	29	15
26523	30	15
7211	35	13
26735	29	14
21625	34	15
12749	33	17
14758	33	15
30217	30	14
27335	32	13
24008	28	11
25669	26	15
30914	30	14
12320	30	15
9590	37	14
17751	34	15
12152	41	16
30582	36	13
8522	29	13
8082	34	16
28125	34	13
12869	32	15
30502	28	10
21091	38	15
25209	34	15
11905	27	15
28797	32	14
10115	31	14
32243	29	13
28877	30	14
15285	32	14
7883	30	15
24460	29	15
32493	31	14
23759	29	15
11337	23	13
27372	28	12
11902	25	15
4425	39	15
7315	35	14
27425	31	13
19428	32	14
11075	26	14
4955	31	15
26341	30	13
11653	31	15
10210	34	14
22596	35	15
2591	32	14
1845	25	13
1266	33	14
26100	37	15
18605	27	14
4592	36	13
6607	32	15
28523	33	13
7777	34	16
23503	36	12
30597	32	13
20371	39	14
4169	28	12
21557	34	15
5174	34	11
5912	24	10
21300	38	11
26697	29	15
17852	32	15
11385	35	12
15217	29	15
17322	32	13
20368	39	14
12896	28	13
23002	34	16
2398	31	14
2026	28	15
10287	28	12
27154	27	13
6411	26	11
22570	31	11
30939	31	14
30218	29	14
13417	33	16
7287	34	14
27645	27	14
21194	37	15
6391	36	13
9894	20	4
11558	17	15
23150	34	14
25069	33	13
26717	30	14
23923	35	14
1902	32	14
18034	28	15
2168	27	13
25442	32	12
21795	31	15
2064	28	14
26539	26	14
27876	30	13
2439	32	15
9573	33	11
22633	33	15
22452	38	16
19517	40	14
9499	32	12
3589	30	15
29670	34	15
11985	38	15
3354	34	15
1816	37	14
21699	35	14
2624	30	15
23035	37	13
30498	30	13
9172	36	14
21947	31	16
2752	35	15
29556	28	10
10813	29	13
23208	32	15
5315	34	14
26445	31	15
1101	36	15
27114	37	14
21485	42	14
4931	28	13
13138	36	16
30306	28	15
19240	32	14
7140	32	14
434	31	14
14517	36	14
18711	29	15
27550	30	11
27959	26	13
16464	30	12
17668	24	13
27612	27	14
2987	34	15
5546	32	14
2074	29	14
22898	36	14
7589	35	15
20937	41	15
30420	29	14
14395	35	17
17314	35	15
20232	40	15
3765	33	15
10752	32	15
2391	31	14
22295	32	15
27706	30	14
11420	29	14
15174	34	13
29251	30	13
27917	27	14
862	37	14
14992	31	14
15352	31	14
17019	31	15
20399	41	14
17162	31	14
24708	33	16
2088	28	11
7413	30	14
22418	33	15
10269	31	13
13057	32	16
25527	33	13
18596	26	14
13094	33	16
27763	39	14
18433	35	16
2344	35	14
19374	31	15
11738	28	14
5898	32	14
17806	28	16
28730	32	14
12349	32	15
18452	29	16
28957	34	14
31684	31	12
1080	32	16
1172	37	15
15752	28	16
3843	39	15
26169	30	13
31635	24	11
12483	32	14
7917	32	15
8944	32	13
1108	36	16
19732	30	15
19579	31	15
8192	34	16
21559	38	15
32621	28	11
27052	35	13
23803	29	14
19421	33	14
18425	35	16
20428	40	14
141	24	13
8077	31	15
20725	40	15
27382	32	14
17911	30	14
24278	31	14
26561	28	16
7896	33	17
24255	37	14
8054	34	15
3127	37	15
26806	25	11
7334	29	15
20347	40	15
2619	34	15
25265	34	14
30683	32	15
29352	28	12
20883	36	15
3146	36	15
17774	28	14
20250	39	15
32762	27	15
31778	30	14
12807	34	17
19756	36	14
20847	39	15
24323	32	15
21720	31	14
3735	32	15
27347	31	13
26660	30	13
28368	30	12
222	28	14
12979	32	14
5801	28	14
10770	34	15
28393	34	13
11363	29	13
29802	30	14
28069	31	13
21999	35	15
2380	32	14
12789	33	17
6509	36	15
410	31	16
25734	26	9
17366	26	13
15962	31	15
13158	37	16
23722	33	14
25878	31	15
9951	26	11
22859	33	14
32737	27	14
8961	33	14
17318	32	15
6043	32	15
15937	30	14
22060	35	16
20610	39	15
10797	29	11
22106	25	14
11447	27	10
17829	26	14
24763	29	16
28683	34	14
10704	32	14
26899	28	15
14985	32	16
22939	38	15
15992	30	14
5206	32	14
25927	36	15
6916	34	14
24458	28	15
627	33	15
9017	32	12
21394	42	14
15609	33	14
14878	32	14
23701	33	13
5549	30	14
32345	30	14
26666	31	15
24621	32	14
13555	34	16
10401	36	14
15939	30	15
5965	33	14
14987	31	16
4399	42	16
10719	35	14
12519	33	15
29621	31	12
524	29	14
30578	36	14
2029	29	15
20133	42	14
29554	29	13
13793	35	11
18687	24	14
31121	30	13
32395	23	15
28218	33	14
6982	34	14
30729	32	14
28028	31	14
930	32	11
20640	31	12
8839	31	15
3234	35	15
20367	41	14
24829	35	14
17479	27	15
8475	36	14
20023	35	13
13577	34	17
19288	39	15
10377	31	12
28488	29	13
1035	37	15
16116	25	13
17938	33	15
24281	32	14
18700	24	13
28685	26	13
172	27	15
23200	32	16
4925	33	14
6184	29	14
13975	30	15
26470	31	15
13715	35	16
23150	35	14
27178	32	14
31417	28	12
6580	31	14
23296	29	13
19411	32	15
27873	29	12
14870	31	15
24716	32	16
9562	37	13
18197	29	15
1893	30	14
13342	33	16
2661	29	12
16878	25	13
15654	32	15
13112	37	16
29249	34	9
2075	24	14
27035	35	14
18468	27	15
7903	32	15
4439	40	15
11494	29	14
15497	29	15
29981	35	13
10648	32	15
29552	32	14
6717	36	15
10823	35	13
30857	33	15
12172	34	15
3674	35	16
27358	29	11
7483	27	15
22104	30	11
660	29	15
24216	29	14
12823	30	16
9188	39	13
24777	27	14
11687	32	15
19736	27	13
27287	36	14
13530	35	16
27454	31	13
20535	30	15
29134	32	14
8378	30	13
2386	29	14
7718	33	13
10181	33	14
22212	37	15
14750	28	15
1856	29	14
10939	31	14
3666	33	13
24553	28	15
705	31	14
27985	30	15
9867	33	13
31115	22	10
2098	27	14
31284	31	13
27516	27	14
7726	33	14
7464	33	16
6907	35	15
12651	32	15
32210	28	14
27438	30	14
26195	35	14
14951	30	15
20	20	10
29184	28	13
31065	28	11
6692	32	14
26799	28	13
10746	30	13
24647	28	15
3078	33	13
9539	37	13
10959	35	15
29267	32	12
28540	31	12
10325	29	14
10878	34	15
9428	39	11
24207	26	14
30103	29	12
26754	24	13
6567	35	14
4795	30	11
17258	26	16
22857	39	14
27857	31	13
3069	33	16
21922	38	16
9704	40	14
1381	31	10
11821	28	15
30089	33	15
21517	40	13
28073	29	13
18574	26	15
11046	34	15
10805	32	12
30324	26	15
15268	35	15
7103	33	11
9247	31	12
10714	31	14
12613	31	14
12700	34	16
2944	34	12
20747	37	13
6899	30	15
28942	30	10
2296	29	13
4473	35	14
27241	37	15
7856	36	16
16709	35	14
25913	33	15
14452	38	16
6893	34	15
21175	42	16
29356	30	12
19972	30	14
5826	24	14
18147	30	15
1886	31	15
17283	32	16
1477	41	14
19612	30	15
14894	32	16
10853	37	16
29031	33	14
19999	34	13
30896	27	13
29953	29	13
4470	37	15
14222	39	15
975	37	14
4255	38	13
19942	32	14
416	33	16
8119	36	16
26066	34	13
3536	32	14
21654	37	15
31474	34	14
13064	29	11
30651	32	15
22385	33	14
4304	38	14
30047	35	14
1819	37	14
32610	26	14
2829	36	13
21434	39	15
6935	34	14
29570	29	14
26286	32	13
16405	29	12
25231	33	15
22723	35	14
24620	29	12
17173	29	15
18782	31	16
6694	36	15
27348	26	5
9699	28	13
19164	24	15
303	26	13
14190	34	14
28219	32	14
19879	29	14
12951	33	14
3613	32	16
24768	31	14
27812	28	14
25408	35	12
32646	26	14
32147	34	15
20800	39	14
22894	36	14
12596	34	15
11043	34	15
764	33	16
3635	37	16
18747	28	15
839	32	9
20520	29	14
811	34	15
15644	34	15
30346	32	14
13294	36	16
8298	32	15
2025	29	15
14789	32	13
23955	30	10
11955	29	16
2986	36	15
12788	34	17
15610	35	13
16874	30	15
8702	39	14
21058	42	14
14442	38	15
10188	35	14
8198	33	16
8294	32	15
28560	35	14
11998	38	16
20862	40	15
21298	44	14
12232	35	15
22947	35	15
12077	40	15
16233	35	16
32152	34	13
21010	38	15
21632	35	15
1746	35	14
22397	32	15
12615	32	14
30834	28	14
15754	27	16
5611	36	14
28537	31	10
28078	29	14
31134	34	14
3215	33	13
4140	33	15
28152	27	13
217	29	14
20695	36	13
24232	29	13
13513	36	16
2267	37	14
18868	29	15
20137	36	13
11577	28	16
15723	33	15
27807	33	14
21848	35	15
14114	38	15
271	30	13
19418	32	15
20090	47	15
18307	34	15
7129	27	7
23032	31	15
16872	33	16
26658	30	10
19587	24	13
1695	30	13
7487	26	11
23158	30	12
28607	29	10
6285	20	15
13784	35	12
25027	31	11
12744	28	16
26841	28	9
9979	27	14
30855	34	14
32317	31	14
25467	34	14
24655	31	15
29973	31	13
8751	31	13
28943	31	14
30869	32	14
24960	31	13
21625	33	15
11734	32	15
6294	25	14
2746	33	15
6223	33	15
4606	34	17
4698	34	14
2813	35	14
11802	30	14
28451	30	13
30875	27	9
21354	39	13
1667	33	13
26389	32	14
19065	32	16
30961	34	14
27598	29	14
16348	37	15
1904	34	14
18544	27	15
21866	32	14
14585	38	16
16262	37	16
26143	36	14
6598	34	15
17903	31	15
29641	32	13
31787	32	14
29286	32	14
20994	35	14
23288	31	13
15521	31	15
1589	33	13
28991	31	13
24193	31	15
14990	30	15
28189	32	14
8892	35	14
25515	32	13
24165	31	14
26581	29	15
2081	30	14
13589	34	16
31136	36	14
11002	34	15
13927	36	15
8287	30	15
15786	28	16
5218	34	14
992	37	15
7207	35	15
6653	32	16
7085	32	12
30584	37	15
2615	34	15
17799	31	16
18204	35	15
15674	33	14
27132	33	14
30547	35	15
4519	41	15
17430	27	14
3899	32	15
4709	35	15
30537	36	15
26849	31	13
12543	33	15
18662	23	10
7071	30	14
21149	38	15
25814	36	15
31361	26	10
16049	27	14
25595	33	14
23100	36	15
21004	40	15
29712	34	13
26142	33	14
27224	33	12
26219	32	14
20513	34	15
20642	38	14
20454	34	12
25265	31	14
32696	29	15
21213	40	16
7029	35	14
31113	27	13
32232	29	14
612	30	15
14290	35	15
10197	31	14
23578	32	14
21201	39	16
4804	30	15
2708	39	15
20573	36	14
15044	31	14
15865	28	14
19465	41	15
32253	31	14
10792	32	15
7233	37	14
27674	28	13
11351	28	12
13752	33	16
28410	34	10
26614	28	16
24555	28	11
7105	32	14
22475	32	15
1274	38	15
2483	29	11
1577	31	14
8854	35	14
17110	26	11
16564	25	14
11696	31	14
27559	30	12
14571	39	15
14802	34	15
17014	29	12
30258	29	13
25336	34	14
29160	30	14
15806	36	16
18172	33	16
8438	40	14
15896	25	13
241	25	12
22360	28	16
28224	33	13
13920	34	16
26086	37	14
29781	32	14
5111	31	13
11886	26	10
9312	30	13
7734	34	16
23205	36	15
12470	36	15
12504	31	13
31778	28	14
32544	25	11
12225	32	15
30845	34	12
14365	31	17
28338	34	13
25032	33	12
7802	32	16
22327	38	15
3702	37	16
31361	27	10
7799	30	16
25091	36	15
4613	33	16
14137	36	15
30818	32	14
29003	31	13
9554	35	13
28963	28	11
18799	29	15
29442	37	15
28115	31	15
10736	33	15
30301	28	13
15226	33	16
9954	28	13
18079	28	14
19196	27	14
14040	41	15
23906	33	13
27799	29	11
13036	28	16
20164	40	14
3749	33	15
13555	35	16
28583	30	10
22629	33	14
11917	27	15
10781	34	16
28609	36	13
7820	30	16
22770	37	15
17310	32	15
11119	32	15
23599	35	15
12868	34	15
21556	37	15
10823	35	13
15130	28	15
15218	32	15
7717	33	14
5702	27	15
10977	38	16
7434	35	15
468	28	13
23	19	14
9241	34	12
11681	28	13
31378	31	14
14482	31	15
11207	34	14
14197	33	10
23990	23	11
25476	26	12
11033	31	15
16721	32	15
4080	36	14
10158	41	15
28500	33	14
24241	31	10
9434	34	13
8208	32	16
26126	33	11
19239	28	14
7376	24	5
29287	23	14
27037	34	13
21757	30	16
13570	37	17
12020	36	14
12751	31	16
23324	35	12
32199	27	14
23935	33	12
15580	30	15
25132	36	13
11061	29	14
23452	32	13
17560	29	14
1277	36	14
21486	41	13
28717	26	12
5101	28	13
17446	24	14
4668	30	16
14376	36	14
20617	36	13
30956	30	14
15201	34	16
20634	38	14
3284	36	16
28517	31	13
8488	30	14
25068	36	14
13861	34	16
27613	30	14
4544	36	16
28773	31	12
13109	34	16
8056	37	14
2506	31	15
5617	35	14
18132	25	13
20505	33	15
19633	31	15
2337	34	14
2778	34	15
14211	39	16
22330	38	15
5490	35	14
5985	31	12
23998	28	14
24668	28	14
26834	30	14
10801	33	15
29373	33	15
23633	33	14
23136	37	14
25212	33	15
27453	30	13
13805	39	15
3700	36	15
25804	36	16
25840	37	15
12847	31	17
7135	36	15
31545	31	15
5595	33	14
12822	30	16
5748	30	14
1503	35	12
19196	25	14
18101	33	16
8903	36	14
20367	40	14
14897	32	16
19338	33	14
30516	32	15
6853	33	14
11093	31	15
31500	33	14
28195	31	14
31450	25	13
15532	31	15
12675	31	15
3467	36	16
19835	32	13
18049	30	16
21020	40	14
10165	38	12
26714	29	14
8717	33	15
573	33	12
31043	32	15
20259	36	12
22427	31	15
12054	34	13
26736	29	14
1458	35	12
30698	31	15
4473	37	14
18841	32	14
21123	37	14
9427	39	13
9195	37	14
19709	30	14
1386	32	12
3371	36	16
16123	32	15
31169	31	15
5764	24	9
24555	21	11
20434	37	15
23095	37	15
12653	32	15
31374	32	15
23820	31	14
15711	35	16
179	31	15
22203	38	15
19910	29	13
12718	28	15
19851	28	12
31524	28	15
9976	33	14
7439	35	16
18371	37	15
29614	30	12
13062	29	15
5672	34	14
2552	36	15
5330	34	14
18321	31	13
25310	36	15
11785	28	13
3651	32	14
7571	35	15
16411	33	14
1483	41	13
4305	36	13
28587	33	14
22222	36	15
19455	39	12
2957	32	14
21173	43	15
564	33	15
24961	29	11
17454	26	14
31902	30	14
19287	36	15
27330	32	11
20147	34	14
28022	25	7
15828	25	13
24951	32	14
10314	29	15
11975	32	15
31200	34	13
28307	32	13
31089	29	14
7462	29	13
10125	34	14
8307	29	14
17243	32	14
28679	32	14
12106	36	15
20825	34	15
31893	33	15
29654	34	15
23465	32	13
21020	37	14
24809	33	14
10819	32	12
18534	23	14
11550	29	15
30851	35	14
17629	32	15
17060	30	15
5501	34	14
6738	30	13
11746	27	15
32377	29	14
22158	33	15
28081	34	14
4949	29	11
17837	27	15
22407	32	15
12103	38	15
10322	25	10
959	32	14
1915	28	13
15659	32	15
4255	39	13
21289	42	14
17804	28	16
11852	29	15
10883	30	11
28645	31	14
6492	34	14
30993	33	15
10971	38	15
13104	37	16
20420	38	13
27964	27	14
16234	33	15
31886	33	15
20425	37	14
1300	36	13
11121	30	15
11278	30	14
15307	33	16
20931	42	15
4735	28	15
4559	39	16
13056	35	16
1789	36	12
25995	27	15
